location,year,compound,concentration_ng_l,type,total_pfas_ng_l,reference,region,dataset
"Cape Fear River, NC, USA",2021,GenX,14.1,emerging,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFPeS,0.657,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFHxA,13.92,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFBS,2.64,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFHpA,12.63,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFNA,1.41,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFMOPrA,4.79,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PEPA,6.37,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFMOAA,18.7,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFO2HxA,7.36,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFO3OA,7.43,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
