region,location,year,compound,concentration_ng_l,type,total_pfas_ng_l,reference,dataset
North Pacific Ocean,"Tokyo Bay, Japan",2002,PFOS,29.17,legacy,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,"Tokyo Bay, Japan",2002,PFOA,96.9,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,"Coastal Hong Kong, China",2002,PFOS,1.335,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,"Coastal Hong Kong, China",2002,PFOA,3.085,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,Coastal South Korea,2002,PFOS,1.27,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,Coastal South Korea,2002,PFOA,5.62,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,South China Sea,2002,PFOS,0.059,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,South China Sea,2002,PFOA,0.29,,38.98055,Same as North Atlantic Ocean 2003,ocean
North Pacific Ocean,Coastal area of Japan,2002,PFOS,30.7,,38.98055,"Taniyasu, S., Kannan, K., Horii, Y., Hanari, N., & Yamashita, N. (2003). A survey of perfluorooctane sulfonate and related perfluorinated organic compounds in water, fish, birds, and humans from Japan. Environmental Science & Technology, 37(12), 2634–2639. https://doi.org/10.1021/es0303440",ocean
North Pacific Ocean,East China Sea,2003,PFOS,3.068,emerging,11.12221446,"Yamashita, N., Kannan, K., Taniyasu, S., Horii, Y., Petrick, G., & Gamo, T. (2005). A global survey of perfluorinated acids in oceans. Marine Pollution Bulletin, 51(8–12), 658–668. https://doi.org/10.1016/j.marpolbul.2005.04.026",ocean
North Pacific Ocean,East China Sea,2003,PFHS,1.375,legacy,11.12221446,"Yamashita, N., Kannan, K., Taniyasu, S., Horii, Y., Petrick, G., & Gamo, T. (2005). A global survey of perfluorinated acids in oceans. Marine Pollution Bulletin, 51(8–12), 658–668. https://doi.org/10.1016/j.marpolbul.2005.04.026",ocean
North Pacific Ocean,East China Sea,2003,PFNA,1.227,,11.12221446,"Yamashita, N., Kannan, K., Taniyasu, S., Horii, Y., Petrick, G., & Gamo, T. (2005). A global survey of perfluorinated acids in oceans. Marine Pollution Bulletin, 51(8–12), 658–668. https://doi.org/10.1016/j.marpolbul.2005.04.026",ocean
